Age,Gender,Height_cm,Weight_kg,Goal,Experience,Budget,Workout_Days,Trainer,Swimming,Membership
45,Female,177,106,Muscle Gain,Beginner,1000,6,Yes,No,Basic
18,Female,183,69,Weight Loss,Advanced,1000,3,Yes,No,Basic
37,Male,156,94,General Fitness,Advanced,3000,3,Yes,Yes,Premium
37,Female,179,88,Muscle Gain,Advanced,2000,4,No,No,Standard
30,Male,175,47,Weight Loss,Beginner,2000,3,Yes,Yes,Standard
25,Female,152,93,General Fitness,Intermediate,1000,6,Yes,Yes,Basic
19,Male,157,98,Muscle Gain,Intermediate,1500,6,No,No,Basic
27,Male,190,46,Muscle Gain,Intermediate,1500,6,No,Yes,Basic
44,Male,182,60,Muscle Gain,Beginner,1500,5,Yes,Yes,Basic
34,Male,172,97,Muscle Gain,Beginner,1000,6,No,Yes,Basic
48,Female,165,45,Weight Loss,Advanced,1500,2,No,Yes,Basic
23,Male,156,77,General Fitness,Beginner,5000,4,No,No,Premium
21,Male,161,50,Muscle Gain,Intermediate,3500,5,Yes,Yes,Premium
20,Male,158,66,Muscle Gain,Intermediate,5000,6,No,Yes,Elite
41,Female,161,59,Muscle Gain,Intermediate,5000,4,No,No,Elite
44,Male,157,61,General Fitness,Advanced,1000,3,Yes,No,Basic
55,Female,186,101,Weight Loss,Advanced,4000,4,Yes,Yes,Premium
48,Female,157,97,Muscle Gain,Beginner,1500,4,No,Yes,Basic
51,Male,171,57,Muscle Gain,Advanced,2500,5,No,No,Standard
27,Male,150,65,General Fitness,Intermediate,5000,3,Yes,No,Premium
38,Male,171,80,Weight Loss,Advanced,2500,6,No,No,Standard
33,Male,179,101,General Fitness,Intermediate,1500,5,No,No,Basic
25,Female,151,58,Muscle Gain,Intermediate,1000,6,Yes,Yes,Basic
37,Male,179,88,Muscle Gain,Beginner,2500,5,No,No,Standard
41,Female,157,57,General Fitness,Beginner,1000,4,No,No,Basic
53,Female,156,50,Weight Loss,Intermediate,2000,5,Yes,No,Standard
30,Male,157,95,Weight Loss,Intermediate,2500,4,Yes,No,Standard
20,Male,178,103,General Fitness,Advanced,2000,5,Yes,Yes,Standard
53,Female,187,106,General Fitness,Beginner,2000,3,Yes,No,Standard
38,Female,176,76,Muscle Gain,Intermediate,3500,4,No,Yes,Premium
26,Female,188,110,Muscle Gain,Advanced,3500,6,Yes,Yes,Premium
31,Female,172,61,General Fitness,Advanced,2000,6,No,Yes,Standard
40,Female,187,98,General Fitness,Advanced,3000,5,Yes,Yes,Premium
19,Female,159,51,General Fitness,Beginner,2500,4,Yes,No,Premium
34,Male,153,82,Weight Loss,Advanced,1000,4,No,Yes,Basic
53,Male,185,94,Weight Loss,Advanced,3000,2,No,No,Premium
44,Female,185,51,Weight Loss,Advanced,3000,3,No,Yes,Premium
41,Male,162,82,Muscle Gain,Beginner,1500,3,Yes,Yes,Basic
42,Male,177,80,General Fitness,Intermediate,2000,3,No,Yes,Standard
39,Female,159,50,Weight Loss,Intermediate,1000,6,No,No,Basic
54,Female,154,85,General Fitness,Beginner,2000,6,Yes,Yes,Standard
44,Female,155,89,Weight Loss,Beginner,3500,4,No,No,Premium
31,Female,185,46,Weight Loss,Advanced,3500,5,Yes,Yes,Premium
20,Female,174,59,Muscle Gain,Intermediate,3000,2,No,No,Premium
49,Male,168,69,Muscle Gain,Advanced,1500,2,Yes,Yes,Basic
22,Male,190,72,General Fitness,Intermediate,1500,3,No,Yes,Basic
27,Male,179,87,Weight Loss,Beginner,1500,2,Yes,No,Basic
53,Male,186,74,Muscle Gain,Intermediate,4000,5,No,No,Premium
38,Male,174,60,General Fitness,Beginner,1500,6,Yes,Yes,Basic
40,Male,168,83,General Fitness,Beginner,3000,5,No,No,Premium
19,Female,160,73,Weight Loss,Advanced,4000,6,No,Yes,Premium
37,Female,150,63,Weight Loss,Beginner,1000,6,No,Yes,Basic
37,Male,172,72,Muscle Gain,Advanced,2000,3,Yes,Yes,Standard
34,Male,157,68,General Fitness,Advanced,1000,6,No,Yes,Basic
36,Male,166,57,Weight Loss,Advanced,5000,4,No,Yes,Elite
33,Male,168,53,Weight Loss,Intermediate,5000,5,No,No,Elite
55,Male,186,91,Muscle Gain,Intermediate,2000,2,No,Yes,Standard
32,Female,167,91,Weight Loss,Advanced,3500,5,No,No,Premium
40,Female,181,58,Weight Loss,Advanced,1500,4,Yes,Yes,Basic
34,Male,154,47,General Fitness,Advanced,1000,6,No,Yes,Basic
20,Female,184,105,General Fitness,Beginner,3500,5,Yes,No,Premium
26,Female,182,110,Weight Loss,Intermediate,3500,6,Yes,Yes,Premium
28,Male,178,65,Weight Loss,Advanced,2000,5,No,Yes,Standard
32,Female,164,53,Muscle Gain,Intermediate,2500,2,Yes,No,Standard
42,Female,179,50,Weight Loss,Advanced,3500,2,No,No,Premium
55,Male,174,93,Muscle Gain,Advanced,1500,6,No,No,Basic
32,Female,172,89,Muscle Gain,Intermediate,1000,6,Yes,No,Basic
28,Male,154,110,General Fitness,Intermediate,2500,3,Yes,Yes,Premium
41,Male,164,98,Muscle Gain,Advanced,1500,5,No,No,Basic
31,Male,176,47,Weight Loss,Beginner,2000,6,Yes,Yes,Standard
50,Male,186,63,Weight Loss,Beginner,3000,3,No,Yes,Premium
36,Male,163,102,General Fitness,Intermediate,5000,3,Yes,No,Premium
27,Male,189,110,Muscle Gain,Beginner,3500,5,Yes,Yes,Premium
42,Female,158,58,Weight Loss,Beginner,4000,3,Yes,Yes,Premium
48,Male,184,109,Weight Loss,Beginner,5000,3,Yes,No,Elite
51,Female,173,50,General Fitness,Advanced,4000,3,No,No,Premium
40,Male,177,62,Muscle Gain,Intermediate,2500,2,No,No,Standard
34,Male,150,45,General Fitness,Advanced,1500,6,Yes,No,Basic
31,Female,176,91,Weight Loss,Beginner,4000,6,No,No,Premium
52,Female,186,91,General Fitness,Intermediate,4000,3,No,No,Premium
29,Female,185,106,Muscle Gain,Intermediate,3500,5,Yes,Yes,Premium
32,Female,160,57,Weight Loss,Advanced,4000,4,Yes,Yes,Premium
42,Male,155,63,Muscle Gain,Advanced,4000,2,Yes,No,Premium
32,Female,155,49,General Fitness,Intermediate,4000,6,No,Yes,Premium
29,Female,178,46,Weight Loss,Advanced,3000,3,Yes,Yes,Premium
28,Male,173,75,General Fitness,Beginner,2000,2,No,No,Standard
40,Female,175,70,General Fitness,Beginner,1500,2,No,No,Basic
40,Female,164,69,Muscle Gain,Intermediate,1000,4,Yes,No,Basic
50,Male,185,54,General Fitness,Intermediate,3500,2,No,No,Premium
46,Female,186,106,Weight Loss,Intermediate,5000,5,Yes,No,Elite
25,Female,154,93,General Fitness,Beginner,2500,4,No,No,Premium
51,Male,166,76,Muscle Gain,Beginner,4000,4,Yes,Yes,Premium
48,Female,172,72,General Fitness,Intermediate,2000,3,No,Yes,Standard
33,Male,166,71,Weight Loss,Beginner,2500,6,No,Yes,Standard
24,Male,155,108,General Fitness,Beginner,1000,5,No,No,Basic
49,Female,181,68,General Fitness,Intermediate,4000,3,Yes,Yes,Premium
51,Female,180,49,General Fitness,Intermediate,4000,3,No,Yes,Premium
51,Female,170,46,Weight Loss,Advanced,2500,5,Yes,No,Standard
41,Female,161,78,Weight Loss,Intermediate,5000,6,No,No,Elite
29,Female,177,71,Muscle Gain,Advanced,3500,4,No,No,Premium
46,Male,186,61,General Fitness,Advanced,2500,2,No,Yes,Premium
53,Female,174,70,Weight Loss,Advanced,2000,5,Yes,Yes,Standard
44,Female,158,85,Muscle Gain,Intermediate,3000,6,Yes,No,Premium
24,Male,153,72,Muscle Gain,Intermediate,1500,5,No,No,Basic
41,Female,185,77,Muscle Gain,Beginner,4000,2,No,Yes,Premium
54,Male,168,90,Muscle Gain,Advanced,5000,5,Yes,No,Elite
36,Female,190,63,Weight Loss,Advanced,3500,5,No,Yes,Premium
23,Male,171,74,Muscle Gain,Intermediate,3000,4,No,No,Premium
46,Female,187,102,Muscle Gain,Beginner,2000,2,Yes,Yes,Standard
34,Male,163,66,Muscle Gain,Beginner,1500,2,No,Yes,Basic
19,Female,183,55,Weight Loss,Intermediate,2000,2,No,No,Standard
32,Male,168,101,General Fitness,Beginner,2000,6,Yes,Yes,Standard
20,Female,170,105,Muscle Gain,Advanced,3000,6,No,Yes,Premium
52,Male,187,103,General Fitness,Advanced,4000,6,No,No,Premium
48,Male,155,101,Muscle Gain,Intermediate,4000,4,Yes,No,Premium
18,Male,183,62,Muscle Gain,Intermediate,5000,6,Yes,No,Elite
48,Female,150,100,Muscle Gain,Advanced,2500,2,No,Yes,Standard
44,Female,175,76,Weight Loss,Advanced,4000,5,Yes,No,Premium
